state_name,district_name,block_tehsil_name,village_name,ref_village_type_name,major_medium_scheme,major_medium_scheme_name,geographical_area,cultivable_area,net_sown_area,gross_irrigated_area_kharif_season,gross_irrigated_area_rabi_season,gross_irrigated_area_perennial_season,gross_irrigated_area_other_season,gross_irrigated_area_total,net_irrigated_area,avg_ground_water_level_pre_monsoon,avg_ground_water_level_post_monsoon,ref_selection_wua_exists_name
TAMIL NADU,TIRUVANNAMALAI,CHEYYAR,MELNAGARAMBEDU,Non-Tribal,No,NA,527,171,171,67,67,67,69,270,137,1,1,Yes
TAMIL NADU,DHARMAPURI,MORAPPUR,NAINAGOUNDAMPATTI,Non-Tribal,No,NA,150,100,86,40,20,10,5,75,75,20,30,Yes
TAMIL NADU,TIRUVARUR,VALANGAIMAN,VEERANAM,Tribal,Yes,VETTARU SULLANARU,555,280,280,60,150,30,0,240,240,30,40,No
TAMIL NADU,DHARMAPURI,HARUR,PARAIAPATTI,Non-Tribal,No,NA,210,180,155,45,25,10,0,80,80,19,25,Yes
TAMIL NADU,DHARMAPURI,HARUR,THAMALERIPATTI,Non-Tribal,No,NA,58,50,40,10,10,0,0,20,20,18,24,No
TAMIL NADU,DHARMAPURI,HARUR,PONNERI,Non-Tribal,No,NA,40,20,10,10,0,0,0,10,10,30,40,No
TAMIL NADU,THOOTHUKUDI,KOVILPATTI,MANDHITHOPPU,Tribal,No,NA,1019,769,400,238,0,16,4,258,258,2,3,No
TAMIL NADU,DHARMAPURI,HARUR,ETTIAMPATTY,Non-Tribal,No,NA,95,80,70,30,20,0,0,50,50,30,40,No
TAMIL NADU,TIRUVANNAMALAI,CHEYYAR,KODANAGAR,Tribal,No,NA,512,126,103,3,20,79,3,105,103,1,1,Yes
TAMIL NADU,KANCHEEPURAM,UTHIRAMERUR,MENALUR,Non-Tribal,No,NA,13,10,0,0,0,0,0,0,0,50,60,Not Known
TAMIL NADU,TIRUVANNAMALAI,VANDAVASI,SETTUPATTU,Non-Tribal,No,NA,267,173,161,56,105,0,0,161,161,7,20,No
TAMIL NADU,TIRUVANNAMALAI,CHEYYAR,DULI,Non-Tribal,No,NA,258,205,42,5,5,5,5,20,14,2,3,No
TAMIL NADU,KANCHEEPURAM,UTHIRAMERUR,ATTHIYURMELTHULI,Non-Tribal,No,NA,637,469,148,15,17,10,0,42,42,5,10,Yes
TAMIL NADU,KANCHEEPURAM,UTHIRAMERUR,MILAKINIMENI,Non-Tribal,No,NA,139,108,32,18,10,4,0,32,32,50,60,Yes
TAMIL NADU,KANCHEEPURAM,UTHIRAMERUR,KALIYAPPETTAI,Non-Tribal,No,NA,264,207,98,60,38,0,0,98,98,1,1,No
TAMIL NADU,VELLORE,KATPADI,THANDALAKRISHNAPURAM,Non-Tribal,No,NA,936,61,18,7,10,1,0,18,18,20,30,No
TAMIL NADU,KANCHEEPURAM,UTHIRAMERUR,PULIPPAKKAM,Non-Tribal,No,NA,225,140,132,21,96,15,0,132,132,5,9,No
TAMIL NADU,PUDUKKOTTAI,PONNAMARAVATHI,NEIVELI,Non-Tribal,No,NA,536,345,59,15,21,2,0,38,38,14,14,No
TAMIL NADU,VILLUPPURAM,VIKKIRAVANDI,CHE.POOTHUR,Non-Tribal,No,NA,600,400,300,100,100,50,50,300,300,10,10,No
TAMIL NADU,ARIYALUR,T.PALUR,UDAYANATHAM(E),Non-Tribal,No,NA,696,510,365,75,75,22,0,172,172,30,50,No
TAMIL NADU,THANJAVUR,PAPANASAM,PAPANASAM,Non-Tribal,No,NA,227,118,75,55,15,5,0,75,70,13,15,Not Known
TAMIL NADU,CUDDALORE,NALLUR,MEMATHUR,Non-Tribal,No,NA,690,510,450,280,170,0,0,450,450,50,55,No
TAMIL NADU,TIRUVALLUR,R.K.PEET,PEDDANAGAPUDI,Tribal,No,NA,562,199,186,38,42,81,25,186,186,65,65,Not Known
TAMIL NADU,VIRUDHUNAGAR,TIRUCHULI,IDAYANKULAM,Non-Tribal,No,NA,45,36,33,0,17,1,0,18,18,1,1,No
TAMIL NADU,VIRUDHUNAGAR,TIRUCHULI,MUTHANENDAL,Non-Tribal,No,NA,100,24,24,0,0,0,0,0,0,1,1,No
TAMIL NADU,VIRUDHUNAGAR,NARIKUDI,THIMMAPURAM,Non-Tribal,No,NA,530,61,61,34,0,19,0,53,53,80,100,No
TAMIL NADU,THANJAVUR,KUMBAKONAM,KEELA KORUKKAI,Non-Tribal,Yes,THIRUMALAI RAJAN RIVER,74,55,47,9,36,1,0,46,37,10,18,No
TAMIL NADU,CUDDALORE,KATTUMANNARKOIL,CHETTITHANGAL,Non-Tribal,Yes,Kollidam,371,256,203,0,168,0,0,168,168,60,80,No
TAMIL NADU,NAGAPATTINAM,KEELVELUR,MOHANUR,Non-Tribal,No,NA,303,260,254,0,250,0,4,254,254,4,6,No
TAMIL NADU,VIRUDHUNAGAR,SRIVILLIPUTUR,VADAKKU SRIVILLIPUTUR,Non-Tribal,No,NA,630,300,106,30,63,13,0,106,106,30,20,No
TAMIL NADU,THANJAVUR,KUMBAKONAM,THIPPIRAJAPURAM,Non-Tribal,No,NA,374,274,197,54,116,27,0,197,197,20,20,No
TAMIL NADU,VIRUDHUNAGAR,SRIVILLIPUTUR,SRIVILLIPUTHUR,Non-Tribal,No,NA,881,535,285,100,63,117,5,285,225,30,20,Yes
TAMIL NADU,ERODE,BHAVANI,KURICHI-B,Non-Tribal,Yes,MCS,1113,1011,734,335,384,15,0,734,734,40,60,No
TAMIL NADU,CUDDALORE,MANGALORE,JA.ENDAL,Non-Tribal,No,NA,702,588,465,61,38,9,2,110,110,5,3,No
TAMIL NADU,ARIYALUR,ANDIMADAM,PERIYAKRISHNAPURAM,Tribal,No,NA,974,833,700,234,210,0,0,444,235,70,74,No
TAMIL NADU,VILLUPPURAM,VIKKIRAVANDI,PANAPAKAM,Non-Tribal,No,NA,110,87,59,19,20,10,10,59,59,80,80,No
TAMIL NADU,VIRUDHUNAGAR,TIRUCHULI,KOKKULAM,Non-Tribal,No,NA,222,173,48,0,43,0,0,43,43,1,1,No
TAMIL NADU,VIRUDHUNAGAR,TIRUCHULI,MEENAKSHIPURAM,Non-Tribal,No,NA,28,19,2,0,0,0,0,0,0,1,1,No
TAMIL NADU,VIRUDHUNAGAR,TIRUCHULI,OORANIPATTI,Non-Tribal,No,NA,81,66,14,0,6,0,0,6,6,1,1,No
TAMIL NADU,VIRUDHUNAGAR,TIRUCHULI,PARAYANKULAM,Non-Tribal,No,NA,91,65,12,0,1,0,0,1,1,1,1,No
TAMIL NADU,CUDDALORE,KURINJIPADY,AYIKKUPPAM,Non-Tribal,No,NA,472,383,371,182,71,118,0,371,326,30,50,No
TAMIL NADU,CUDDALORE,KURINJIPADY,MADANAGOPALAPURAM,Non-Tribal,No,NA,380,239,224,145,11,0,224,380,224,30,50,No
TAMIL NADU,CUDDALORE,BHUVANAGIRI,C.ALAMBADI(KASBA),Non-Tribal,No,NA,393,337,325,40,325,0,0,365,325,25,26,No
TAMIL NADU,THANJAVUR,PERAVURANI,MAVADUKURUCHI WAST,Non-Tribal,Yes,CMP,423,333,306,0,69,19,9,97,97,10,10,No
TAMIL NADU,THANJAVUR,SEDHUBAVACHATTIRAM,PERIYAKATHIKOTTAI,Non-Tribal,No,NA,419,255,200,0,69,19,9,97,97,4,7,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,KADATHUR,Non-Tribal,No,NA,565,558,269,25,30,2,3,60,50,25,30,No
TAMIL NADU,CUDDALORE,KURINJIPADY,AKKATIMMAPURAM,Non-Tribal,No,NA,75,63,59,7,1,0,51,59,59,30,50,No
TAMIL NADU,TIRUVARUR,VALANGAIMAN,SADAYANGAL,Non-Tribal,Yes,regunatha Kaveri Vaikal,555,280,280,60,150,30,0,240,240,25,30,No
TAMIL NADU,TIRUVARUR,VALANGAIMAN,MANAKKAL,Non-Tribal,No,NA,300,200,150,60,150,0,50,260,150,25,30,No
